loss,training_accuracy,step
1.9475358724594116,8,0
1.932668924331665,19,1
1.9166611433029175,19,2
1.897784948348999,44,3
1.8751213550567627,40,4
1.8483105897903442,32,5
1.8174527883529663,30,6
1.7831205129623413,30,7
1.7463750839233398,30,8
1.708614706993103,30,9
1.6711245775222778,30,10
1.6342132091522217,30,11
1.5965484380722046,30,12
1.5553953647613525,30,13
1.5079574584960938,30,14
1.4529377222061157,32,15
1.3910324573516846,38,16
1.3242459297180176,49,17
1.254878044128418,57,18
1.184765100479126,66,19
1.1150505542755127,73,20
1.0462907552719116,77,21
0.9787459969520569,80,22
0.9126664400100708,82,23
0.8484948873519897,83,24
0.7868843674659729,84,25
0.7285913825035095,85,26
0.6742849946022034,85,27
0.6243656873703003,85,28
0.5788609981536865,86,29
0.5374441742897034,86,30
0.49958479404449463,87,31
0.4647829532623291,87,32
0.43280768394470215,88,33
0.40380021929740906,88,34
0.37814316153526306,89,35
0.35610339045524597,89,36
0.3374449610710144,89,37
0.3213762640953064,90,38
0.30696287751197815,90,39
0.29363203048706055,91,40
0.2813226282596588,91,41
0.270232617855072,91,42
0.26049837470054626,91,43
0.2520619332790375,91,44
0.2447061687707901,91,45
0.2381342500448227,92,46
0.23203612864017487,92,47
0.22616538405418396,92,48
0.22043709456920624,92,49
0.21493679285049438,92,50
0.20974686741828918,92,51
0.20476946234703064,93,52
0.19979946315288544,93,53
0.194730743765831,93,54
0.1895969957113266,93,55
0.18448063731193542,93,56
0.17948666214942932,93,57
0.17475526034832,93,58
0.17037683725357056,93,59
0.16627620160579681,94,60
0.16230709850788116,94,61
0.1584475189447403,94,62
0.1547723114490509,94,63
0.15128357708454132,94,64
0.1479121595621109,94,65
0.14462263882160187,94,66
0.14139719307422638,94,67
0.13819564878940582,94,68
0.13502097129821777,95,69
0.13194598257541656,95,70
0.12901084125041962,95,71
0.1261763870716095,95,72
0.12341954559087753,95,73
0.12076841294765472,95,74
0.11823134124279022,95,75
0.11579438298940659,96,76
0.11346584558486938,96,77
0.11123604327440262,96,78
0.10905862599611282,96,79
0.10692162811756134,96,80
0.10484950989484787,96,81
0.10283564031124115,96,82
0.1008627787232399,96,83
0.09893874078989029,96,84
0.09706103056669235,96,85
0.09522398561239243,96,86
0.09344588965177536,97,87
0.09172429889440536,97,88
0.0900346115231514,97,89
0.08838009089231491,97,90
0.0867650955915451,97,91
0.08517856895923615,97,92
0.08362430334091187,97,93
0.0821007713675499,97,94
0.08060000836849213,97,95
0.07913442701101303,97,96
0.07770603150129318,97,97
0.07630746066570282,97,98
0.07494360208511353,97,99
